log_no,post_date,category,claim_id,topic,claim,numbers,para_idx,image_ref,vs_v1,v1_anchor
80086503568,2009-08-22,28,80086503568-1,⑧기타,방법론 주장 없음,,-1,False,none,
80086504409,2009-08-22,28,80086504409-1,⑧기타,"냉철함과 뇌동매매 금지, 확고한 원칙 준수를 투자철학 3원칙으로 제시",,2,False,new,
80086504409,2009-08-22,28,80086504409-2,①후보선정,인기주·테마주 및 고가주 중기매매를 매매 대상 원칙으로 제시,,7,False,new,
80086504409,2009-08-22,28,80086504409-3,①후보선정,바닥권 종목을 거래량 증가 시 매수 준비 대상으로 꾸준히 관찰한다는 원칙,,9,False,new,
80086504409,2009-08-22,28,80086504409-4,④분할매도,과감한 손절매를 원칙으로 하되 잦은 손절은 피해야 한다고 제시,,11,False,new,
80086504409,2009-08-22,28,80086504409-5,③분할매수,분할매수를 매매 원칙 중 하나로 명시,,12,False,new,
80086504409,2009-08-22,28,80086504409-6,④분할매도,분할매도를 매매 원칙 중 하나로 명시,,12,False,new,
80090262097,2009-09-10,28,80090262097-1,①후보선정,상승추세 종목만을 쌍바닥 기법의 매매 대상으로 한정,,16,False,new,
80090262097,2009-09-10,28,80090262097-2,③분할매수,1·2차 바닥 형성 후 20일선 돌파를 매수 시점으로 규정,20일선,19,False,new,
80090262097,2009-09-10,28,80090262097-3,④분할매도,10일선·20일선이 차례로 붕괴되는 순서에 맞춰 분할매도한다고 규정,,20,False,new,
80090507838,2009-09-13,28,80090507838-1,⑥국면대응,하락장 쌍바닥은 반등이 작고 추세전환이 어려우나 상승장 쌍바닥은 재상승 확률이 높다고 구분,,9,False,new,
80090507838,2009-09-13,28,80090507838-2,⑥국면대응,코스피·코스피200 지수와 동행하는 종목을 대세 판단의 기준으로 관찰해야 한다고 제시,,36,False,new,
80090507838,2009-09-13,28,80090507838-3,④분할매도,공시의 진위와 성격을 판단해 20일선 붕괴 시 주저 없이 손절해야 한다고 제시,20일선,43,False,new,
80090507838,2009-09-13,28,80090507838-4,①후보선정,쌍바닥 반등 크기는 매수주체(수급)에 따라 달라진다고 보아 주체 파악을 강조,,51,False,new,
80091505167,2009-09-24,28,80091505167-1,①후보선정,급등재료·충분한 이격·기준선 터치를 기준선 기법의 매매 조건으로 규정,,2,False,new,
80091505167,2009-09-24,28,80091505167-2,③분할매수,"오후 2시 이후 기준선 부근 투매를 정석 매수 타이밍으로, 오전 투매는 변형으로 구분",,10,False,new,
80091505167,2009-09-24,28,80091505167-3,④분할매도,오후장 매수분은 익일 절반 매도 후 나머지는 추세를 보며 매도한다고 규정,,14,False,new,
80092243387,2009-10-04,28,80092243387-1,②앵커,대량거래 터진 장대양봉의 중간값을 박스권 지지대의 기준가로 삼는다,,7,False,new,
80092243387,2009-10-04,28,80092243387-2,⑧기타,종가가 박스권 지지대를 훼손하지 않으면 지지 확률이 높다고 주장,,13,False,new,
80092269847,2009-10-05,28,80092269847-1,①후보선정,"호재성 공시로 급등하지 않고 악재 없이 눌린, 재료가 살아있는 종목만 20일선 번지 대상으로 선정",,7,False,new,
80092269847,2009-10-05,28,80092269847-2,③분할매수,오전 투매 시 일봉 20일선 부근 가격대를 매수 지점으로 규정,20일선,21,False,new,
