date,code,in_list,list_pos,state,signal,signal_reason,live_log_ratio,replay_ratio,live_log_ref,replay_ref,log_match,predicted,v_entry_basis,v_entry_price,actual_buy_price,entry_diff_pct,v_exit_reason,v_exit_date,v_ret_pct,actual_exit_reason,actual_exit_date,actual_ret_pct,exit_match,note
2026-08-06,003280,Y,1,bought,Y,volume_dryup recent/base=0.70 ≤ 0.70,0.70,0.70,1684,1684,Y,N,D_open,1664,1655,+0.54,tp,2026-08-18,+12.00,tp,2026-08-18,+12.02,Y,캡 미작동일(보유종목 매수시그널 7)
2026-08-10,002990,Y,2,bought,Y,volume_dryup recent/base=0.56 ≤ 0.70,0.56,0.56,9770,9770,Y,N,D_open,9770,9780,-0.10,sl,2026-08-10,-8.00,sl,2026-08-10,-8.18,Y,체결 09:09(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차 · 캡 미작동일(보유종목 매수시그널 7)
2026-08-11,100090,Y,6,bought,Y,volume_dryup recent/base=0.52 ≤ 0.70,0.52,0.52,14000,14000,Y,N,D_open,14070,13750,+2.33,sl,2026-08-21,-8.00,sl,2026-08-25,-8.00,reason_only,캡 미작동일(보유종목 매수시그널 5)
2026-08-11,279570,Y,10,bought,Y,volume_dryup recent/base=0.24 ≤ 0.70,0.24,0.24,5630,5630,Y,N,D_open,5640,5590,+0.89,max_hold,2026-09-09,+3.01,max_hold,2026-09-09,+4.11,Y,체결 09:09(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차 · 캡 미작동일(보유종목 매수시그널 5)
2026-08-11,042660,Y,7,bought,Y,volume_dryup recent/base=0.59 ≤ 0.70,0.59,0.59,94400,94400,Y,N,D_open,93200,91900,+1.41,sl,2026-08-19,-8.00,sl,2026-08-21,-7.94,reason_only,체결 09:59(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차 · 캡 미작동일(보유종목 매수시그널 5)
2026-08-12,403870,Y,3,bought,Y,volume_dryup recent/base=0.47 ≤ 0.70,0.47,0.47,38400,38400,Y,N,D_open,38550,38450,+0.26,tp,2026-08-18,+12.00,tp,2026-08-18,+12.09,Y,캡 미작동일(보유종목 매수시그널 6)
2026-08-12,067310,Y,8,bought,Y,volume_dryup recent/base=0.70 ≤ 0.70,0.70,0.70,35000,35000,Y,N,D_open,35050,34500,+1.59,tp,2026-08-18,+13.84,tp,2026-08-18,+17.54,Y,체결 10:00(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차 · 캡 미작동일(보유종목 매수시그널 6)
2026-08-21,475150,Y,3,bought,Y,volume_dryup recent/base=0.57 ≤ 0.70,0.57,0.57,56000,56000,Y,Y,D_open,55200,51600,+6.98,sl,2026-08-21,-8.00,tp,2026-08-28,+12.02,N,체결 09:28(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차
2026-08-25,069540,Y,2,bought,Y,volume_dryup recent/base=0.40 ≤ 0.70,0.40,0.40,2805,2805,Y,Y,D_open,2700,2720,-0.74,tp,2026-08-26,+12.00,tp,2026-08-26,+12.68,Y,체결 09:37(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차
2026-08-26,010950,Y,1,bought,Y,volume_dryup recent/base=0.63 ≤ 0.70,0.63,0.63,139900,139900,Y,Y,D_open,135000,132500,+1.89,tp,2026-08-31,+12.00,tp,2026-08-28,+12.45,reason_only,체결 09:07(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차
2026-08-28,006340,Y,1,bought,Y,volume_dryup recent/base=0.30 ≤ 0.70,0.30,0.30,14140,14140,Y,Y,D_open,14000,13950,+0.36,sl,2026-09-02,-8.57,sl,2026-09-02,-8.03,Y,체결 09:17(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차
2026-08-28,073240,Y,2,bought,Y,volume_dryup recent/base=0.61 ≤ 0.70,0.61,0.61,7110,7110,Y,Y,D_open,7130,7040,+1.28,open,2026-09-17,-1.54,open,,,both_open,체결 09:27(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차
2026-09-03,119850,Y,2,bought,Y,volume_dryup recent/base=0.52 ≤ 0.70,0.52,0.52,41850,41850,Y,Y,D_open,42400,42050,+0.83,tp,2026-09-09,+12.85,tp,2026-09-09,+14.15,Y,
2026-09-09,317400,Y,2,bought,Y,volume_dryup recent/base=0.66 ≤ 0.70,0.66,0.66,10800,10800,Y,Y,D_open,10700,10600,+0.94,sl,2026-09-09,-8.00,sl,2026-09-09,-8.02,Y,
2026-09-09,241710,Y,4,bought,Y,volume_dryup recent/base=0.68 ≤ 0.70,0.68,0.68,126100,126100,Y,Y,D_open,124900,124500,+0.32,sl,2026-09-10,-8.00,open,,,N(한쪽만 종료),체결 09:07(첫 틱 이후) - D 시가 기준 가상 진입가와 구조적 차
2026-09-10,006360,Y,2,bought,Y,volume_dryup recent/base=0.57 ≤ 0.70,0.57,0.57,35550,35550,Y,Y,D_open,35100,35300,-0.57,tp,2026-09-11,+12.00,open,,,N(한쪽만 종료),
