# RESULTS_SECTOR_POST7 — 건별 측정값 (기계 생성 · 🔒 판정)
# 주 판정 갈래 N=3 · SEC-M1 · 창 종료 2026-09-11(발행 2026-09-12 토 휴장 ⇒ 마지막 거래일 · B-1 · PD-1) · 실행 시 max(date) 2026-09-15(행 2765) · 시드 20260815 · post7(224409404744) 신규 exact «만»
# 1. 🔴 **「라이브 채택 금지 · 성과·엣지 추정 금지」** — 이 문서가 만드는 어떤 섹터 지표도 라이브 전략·파라미터 변경의 근거가 아니다(`PREREG_SECTOR_COMOVE.md` §0-1 · `PREREG.md` §0). 산출물은 **기록**이지 전략 후보가 아니다.
# 2. 🔴 **「+15%」 문턱이 이 축 «안»에 남아 있다** — `n_up`(대조 풀)과 `SEC-M2` 가 `고가 ≥ 전일종가 × 1.15` 를 쓴다(`run_regday_post5.py:13`·`:327` 승계 · §2-2). **`SEL-S1` 기각은 그대로 유지된다** — 이 값은 «판정 문턱»이 아니라 «대조 풀·측정자 입력»이고, **등록일 당일 저자 종목에 걸지 않는다**(동료에게만 건다).
# 3. 🔴 **`SEC-P1` 불성립을 「테마가 아니다」로 읽지 않는다** — 거짓 음성이 구조적이다(에코프로 4종목이 KSIC 에서 «세 칸»으로 흩어진다 · §0-2 · §9). 성립도 「섹터 동반성이 존재한다」까지이며 「테마로 고른다」의 확증이 아니다.
# 4. 🔴 **`SEC-N1` 은 «`SEC-B1` 없이는» 증거가 아니다** — 저자 종목은 정의상 급등주이고, 급등주가 섹터 동반성이 높다면 `SEC-N1` 은 그 사실만 되비춘다(= `REG-M4` 재진술). **정보는 `SEC-B1`·`SEC-B2` 에 있다**(§4-1).
# 5. 🔒 **여기 있는 값이 «판정»이다**(`SEC-P1`·`SEC-P2` · §0-4 7번) — 분모는 **post7 신규 `exact` 건**이며, **훈련(post1~5) 값은 분모에 «넣지 않는다»**(`SEC-O1` · §4-5). 훈련 열은 🔬 «탐색적 표기»로 나란히 두기만 한다. 그리고 이 축의 최대치는 **「기술」**이다(승/패 대조 **4회 연속** 미실시 · §0-2 ③).
# 6. 🔴 **잣대는 이 실행 «전»에 동결됐다** — `SEC-D1`(`N = 3`)·`SEC-D2`(`SEC-M1`) 사장님 확정 2026-09-02(§0-6) · 배선 점검 2026-09-02 · 동결 커밋 `FREEZE_SECTOR_2026-09-03.md` · 그 «뒤»인 2026-09-15 15:36:49 KST 에 `fetch_post.py`(post7)가 돌았다(`PREDECISION_2026-09-15_post7.md` PD-0 표 · `git branch -r --contains` 6/6 `origin/main`). 🔴 **이 실행은 잣대를 하나도 바꾸지 않는다** — 값을 보고 바꾸면 그게 사후적합이다.
#
post	item	name	code	reg	N	measure	sector	peers	G	sec_rank	raw	pct	reason
7	7	서산	079650	2026-09-03	2	SEC-M1	23	35	60	26	0.00000000	55.932203	
7	8	강동씨엔앨	198440	2026-09-03	2	SEC-M1	23	35	60	26	0.00000000	55.932203	
7	9	로보티즈	108490	2026-09-04	2	SEC-M1	29	211	60	8	0.01392608	86.440678	
7	10	해치텍	0155E0	2026-09-07	2	SEC-M1							③
7	11	빛과전자	069540	2026-09-08	2	SEC-M1	26	287	60	45	-0.00926880	23.728814	
7	13	범한퓨얼셀	382900	2026-09-09	2	SEC-M1	28	85	60	0	0.02127660	100.000000	
7	7	서산	079650	2026-09-03	2	SEC-M2	23	35	60	59	0.00000000	0.000000	
7	8	강동씨엔앨	198440	2026-09-03	2	SEC-M2	23	35	60	19	1.00000000	67.796610	
7	9	로보티즈	108490	2026-09-04	2	SEC-M2	29	211	60	0	13.00000000	100.000000	
7	10	해치텍	0155E0	2026-09-07	2	SEC-M2							③
7	11	빛과전자	069540	2026-09-08	2	SEC-M2	26	287	60	1	9.00000000	98.305085	
7	13	범한퓨얼셀	382900	2026-09-09	2	SEC-M2	28	85	60	2	6.00000000	96.610169	
7	7	서산	079650	2026-09-03	2	SEC-M3	23	35	60	17	0.45714286	71.186441	
7	8	강동씨엔앨	198440	2026-09-03	2	SEC-M3	23	35	60	16	0.48571429	72.881356	
7	9	로보티즈	108490	2026-09-04	2	SEC-M3	29	211	60	11	0.76777251	81.355932	
7	10	해치텍	0155E0	2026-09-07	2	SEC-M3							③
7	11	빛과전자	069540	2026-09-08	2	SEC-M3	26	287	60	32	0.25783972	45.762712	
7	13	범한퓨얼셀	382900	2026-09-09	2	SEC-M3	28	85	60	3	0.70588235	94.915254	
7	7	서산	079650	2026-09-03	3	SEC-M1	233	16	158	22	0.00670653	85.987261	
7	8	강동씨엔앨	198440	2026-09-03	3	SEC-M1	233	16	158	14	0.01078709	91.082803	
7	9	로보티즈	108490	2026-09-04	3	SEC-M1	292	160	158	18	0.01705625	88.535032	
7	10	해치텍	0155E0	2026-09-07	3	SEC-M1							③
7	11	빛과전자	069540	2026-09-08	3	SEC-M1	264	59	158	71	-0.00410678	54.777070	
7	13	범한퓨얼셀	382900	2026-09-09	3	SEC-M1	281	35	158	17	0.01352657	89.171975	
7	7	서산	079650	2026-09-03	3	SEC-M2	233	16	158	157	0.00000000	0.000000	
7	8	강동씨엔앨	198440	2026-09-03	3	SEC-M2	233	16	158	25	1.00000000	84.076433	
7	9	로보티즈	108490	2026-09-04	3	SEC-M2	292	160	158	1	9.00000000	99.363057	
7	10	해치텍	0155E0	2026-09-07	3	SEC-M2							③
7	11	빛과전자	069540	2026-09-08	3	SEC-M2	264	59	158	13	2.00000000	91.719745	
