log_no,post_date,category,img_no,content_type,topic,vs_text,judge_agree,readable
220563934226,2015-12-10,28,20,기타,고점대비 상승폭 구간과 그에 대응하는 하락폭 범위를 화살표로 짝지은 도식 — 사다리의 첫째 칸(가장 낮은 상승폭대),있음,True,True
220563934226,2015-12-10,28,22,기타,같은 도식의 둘째 칸 — 한 단계 높은 상승폭 구간에 대응하는 하락폭 범위,있음,True,True
220563934226,2015-12-10,28,24,기타,같은 도식의 셋째 칸,있음,True,True
220563934226,2015-12-10,28,26,기타,같은 도식의 넷째 칸,있음,True,True
220563934226,2015-12-10,28,28,기타,같은 도식의 다섯째 칸,있음,True,True
220563934226,2015-12-10,28,30,기타,같은 도식의 여섯째 칸 — 오른쪽이 범위가 아니라 단일값으로 바뀜,있음,True,True
220563934226,2015-12-10,28,32,기타,같은 도식의 마지막 칸 — 폭이 넓은 상승폭 구간을 하나로 묶고 오른쪽은 단일값,있음,True,True
220959961295,2017-03-16,28,2,차트캡처,분봉 차트에 적정 투매폭 밴드를 긋고 그 안에서 지지를 확인한 뒤 매수하며 거래량 급증 지점을 매도로 잡는 절차를 주석으로 표시,부분,True,True
220959961295,2017-03-16,28,3,계산기화면,초기 웹 버전 투매폭 계산기 화면 — 종목명·저가·고가 세 입력만 받아 범위와 적정가 상·하한을 표로 내는 입출력 구성(계산식은 화면에 없음),부분,True,True
220959961295,2017-03-16,28,5,차트캡처,급등 후 거래량이 직전 최대 거래량 대비 일정 비율 이하로 줄어든 지점을 최적 매수급소로 지목한 슬라이드형 차트,있음,True,True
220959961295,2017-03-16,28,6,차트캡처,같은 슬라이드 틀의 다른 사례 — 적정 투매폭 밴드에서 지지 확인 후 매수하되 RSI 과매도권 진입을 함께 보는 판단을 주석으로 표시,부분,True,True
224098489956,2025-12-04,28,7,기타,반등 개념도 — 최고가와 최저가 사이를 나눈 두 수평선에 최소 기본 반등폭이라는 이름을 붙여 매도 기준선으로 삼음,있음,True,True
