# RESULTS_SECTOR_POST6 — 건별 측정값 (기계 생성 · 🔒 판정)
# 주 판정 갈래 N=3 · SEC-M1 · DB 스냅샷 2026-09-04 · 시드 20260815 · post6(224401108114) 신규 exact «만»
# 1. 🔴 **「라이브 채택 금지 · 성과·엣지 추정 금지」** — 이 문서가 만드는 어떤 섹터 지표도 라이브 전략·파라미터 변경의 근거가 아니다(`PREREG_SECTOR_COMOVE.md` §0-1 · `PREREG.md` §0). 산출물은 **기록**이지 전략 후보가 아니다.
# 2. 🔴 **「+15%」 문턱이 이 축 «안»에 남아 있다** — `n_up`(대조 풀)과 `SEC-M2` 가 `고가 ≥ 전일종가 × 1.15` 를 쓴다(`run_regday_post5.py:13`·`:327` 승계 · §2-2). **`SEL-S1` 기각은 그대로 유지된다** — 이 값은 «판정 문턱»이 아니라 «대조 풀·측정자 입력»이고, **등록일 당일 저자 종목에 걸지 않는다**(동료에게만 건다).
# 3. 🔴 **`SEC-P1` 불성립을 「테마가 아니다」로 읽지 않는다** — 거짓 음성이 구조적이다(에코프로 4종목이 KSIC 에서 «세 칸»으로 흩어진다 · §0-2 · §9). 성립도 「섹터 동반성이 존재한다」까지이며 「테마로 고른다」의 확증이 아니다.
# 4. 🔴 **`SEC-N1` 은 «`SEC-B1` 없이는» 증거가 아니다** — 저자 종목은 정의상 급등주이고, 급등주가 섹터 동반성이 높다면 `SEC-N1` 은 그 사실만 되비춘다(= `REG-M4` 재진술). **정보는 `SEC-B1`·`SEC-B2` 에 있다**(§4-1).
# 5. 🔒 **여기 있는 값이 «판정»이다**(`SEC-P1`·`SEC-P2` · §0-4 7번) — 분모는 **post6 신규 `exact` 건**이며, **훈련(post1~5) 값은 분모에 «넣지 않는다»**(`SEC-O1` · §4-5). 훈련 열은 🔬 «탐색적 표기»로 나란히 두기만 한다. 그리고 이 축의 최대치는 **「기술」**이다(승/패 대조 3회 연속 미실시 · §0-2 ③).
# 6. 🔴 **잣대는 이 실행 «전»에 동결됐다** — `SEC-D1`(`N = 3`)·`SEC-D2`(`SEC-M1`) 사장님 확정 2026-09-02(§0-6) · 배선 점검 2026-09-02 · 동결 커밋 `FREEZE_SECTOR_2026-09-03.md` · 그 «뒤»인 2026-09-04 에 `fetch_post.py` 가 돌았다(`PREDECISION_2026-09-04_post6.md` PD-0). 🔴 **이 실행은 잣대를 하나도 바꾸지 않는다** — 값을 보고 바꾸면 그게 사후적합이다.
#
post	item	name	code	reg	N	measure	sector	peers	G	sec_rank	raw	pct	reason
6	3	한라캐스트	125490	2026-08-21	2	SEC-M1	30	108	60	41	-0.01727045	30.508475	
6	4	헥토파이낸셜	234340	2026-08-28	2	SEC-M1	66	25	60	35	0.00559701	40.677966	
6	5	아난티	025980	2026-08-19	2	SEC-M1	55	2	60	34	-0.01339292	42.372881	
6	6	아이티센글로벌	124500	2026-08-20	2	SEC-M1	62	37	60	5	0.01055100	91.525424	
6	7	현대약품	004310	2026-09-01	2	SEC-M1	21	178	60	39	0.00000000	33.898305	
6	8	원익	032940	2026-08-31	2	SEC-M1	46	114	60	22	0.00000000	62.711864	
6	9	쿠콘	294570	2026-08-28	2	SEC-M1	63	33	60	14	0.01144165	76.271186	
6	10	지투파워	388050	2026-08-26	2	SEC-M1	28	85	60	20	0.00429185	66.101695	
6	11	우리기술투자	041190	2026-08-25	2	SEC-M1	64	115	60	19	0.01171875	67.796610	
6	12	비에이치	090460	2026-09-01	2	SEC-M1	26	288	60	50	-0.00646643	15.254237	
6	3	한라캐스트	125490	2026-08-21	2	SEC-M2	30	108	60	23	1.00000000	61.016949	
6	4	헥토파이낸셜	234340	2026-08-28	2	SEC-M2	66	25	60	26	1.00000000	55.932203	
6	5	아난티	025980	2026-08-19	2	SEC-M2	55	2	60	59	0.00000000	0.000000	
6	6	아이티센글로벌	124500	2026-08-20	2	SEC-M2	62	37	60	12	2.00000000	79.661017	
6	7	현대약품	004310	2026-09-01	2	SEC-M2	21	178	60	0	7.00000000	100.000000	
6	8	원익	032940	2026-08-31	2	SEC-M2	46	114	60	20	1.00000000	66.101695	
6	9	쿠콘	294570	2026-08-28	2	SEC-M2	63	33	60	59	0.00000000	0.000000	
6	10	지투파워	388050	2026-08-26	2	SEC-M2	28	85	60	11	2.00000000	81.355932	
6	11	우리기술투자	041190	2026-08-25	2	SEC-M2	64	115	60	4	3.00000000	93.220339	
6	12	비에이치	090460	2026-09-01	2	SEC-M2	26	288	60	5	5.00000000	91.525424	
6	3	한라캐스트	125490	2026-08-21	2	SEC-M3	30	108	60	31	0.16666667	47.457627	
6	4	헥토파이낸셜	234340	2026-08-28	2	SEC-M3	66	25	60	23	0.72000000	61.016949	
6	5	아난티	025980	2026-08-19	2	SEC-M3	55	2	60	2	0.50000000	96.610169	
6	6	아이티센글로벌	124500	2026-08-20	2	SEC-M3	62	37	60	10	0.67567568	83.050847	
6	7	현대약품	004310	2026-09-01	2	SEC-M3	21	178	60	28	0.48314607	52.542373	
