# RESULTS_SECTOR_POST8 — 건별 측정값 (기계 생성 · 🔒 판정)
# 주 판정 갈래 N=3 · SEC-M1 · 창 종료 2026-09-18(발행 당일 금 · 거래일 봉 포함 · B-1 · PD-1) · 실행 시 max(date) 2026-09-23(행 2764) · 시드 20260815 · post8(224416253270) 신규 exact «만»
# 1. 🔴 **「라이브 채택 금지 · 성과·엣지 추정 금지」** — 이 문서가 만드는 어떤 섹터 지표도 라이브 전략·파라미터 변경의 근거가 아니다(`PREREG_SECTOR_COMOVE.md` §0-1 · `PREREG.md` §0). 산출물은 **기록**이지 전략 후보가 아니다.
# 2. 🔴 **「+15%」 문턱이 이 축 «안»에 남아 있다** — `n_up`(대조 풀)과 `SEC-M2` 가 `고가 ≥ 전일종가 × 1.15` 를 쓴다(`run_regday_post5.py:13`·`:327` 승계 · §2-2). **`SEL-S1` 기각은 그대로 유지된다** — 이 값은 «판정 문턱»이 아니라 «대조 풀·측정자 입력»이고, **등록일 당일 저자 종목에 걸지 않는다**(동료에게만 건다).
# 3. 🔴 **`SEC-P1` 불성립을 「테마가 아니다」로 읽지 않는다** — 거짓 음성이 구조적이다(에코프로 4종목이 KSIC 에서 «세 칸»으로 흩어진다 · §0-2 · §9). 성립도 「섹터 동반성이 존재한다」까지이며 「테마로 고른다」의 확증이 아니다.
# 4. 🔴 **`SEC-N1` 은 «`SEC-B1` 없이는» 증거가 아니다** — 저자 종목은 정의상 급등주이고, 급등주가 섹터 동반성이 높다면 `SEC-N1` 은 그 사실만 되비춘다(= `REG-M4` 재진술). **정보는 `SEC-B1`·`SEC-B2` 에 있다**(§4-1).
# 5. 🔒 **여기 있는 값이 «판정»이다**(`SEC-P1`·`SEC-P2` · §0-4 7번) — 분모는 **post8 신규 `exact` 건**이며, **훈련(post1~5) 값은 분모에 «넣지 않는다»**(`SEC-O1` · §4-5). 훈련 열은 🔬 «탐색적 표기»로 나란히 두기만 한다. 그리고 이 축의 최대치는 **「기술」**이다(승/패 대조 **5회 연속** 미실시 · §0-2 ③).
# 6. 🔴 **잣대는 이 실행 «전»에 동결됐다** — `SEC-D1`(`N = 3`)·`SEC-D2`(`SEC-M1`) 사장님 확정 2026-09-02(§0-6) · 배선 점검 2026-09-02 · 동결 커밋 `FREEZE_SECTOR_2026-09-03.md` · 그 «뒤»인 2026-09-18 19:04:05 KST 에 `fetch_post.py`(post8)가 돌았다(`PREDECISION_2026-09-18_post8.md` PD-0 표 · 10 SHA 전부 `origin/main`). 🔴 **이 실행은 잣대를 하나도 바꾸지 않는다** — 값을 보고 바꾸면 그게 사후적합이다.
# 7. 🔴 **라이브 채택 대상이 아니다**(`PREREG.md` §0 2번 · `PREREG_POST8.md` §0-1) — 🆕 `PREREG_POST8.md` 첫 구속 회차(`D-3`·`D-5`·`D-8`·`D-9` 의무 인쇄 · 등급 이름 0).
#
post	item	name	code	reg	N	measure	sector	peers	G	sec_rank	raw	pct	reason
8	3	우리로	046970	2026-09-11	2	SEC-M1	46	114	60	29	0.00000000	50.847458	
8	6	JW신약	067290	2026-09-01	2	SEC-M1	21	178	60	39	0.00000000	33.898305	
8	8	액스비스	0011A0	2026-09-11	2	SEC-M1							③
8	10	우리기술	032820	2026-09-09	2	SEC-M1	28	85	60	0	0.02127660	100.000000	
8	3	우리로	046970	2026-09-11	2	SEC-M2	46	114	60	4	5.00000000	93.220339	
8	6	JW신약	067290	2026-09-01	2	SEC-M2	21	178	60	0	7.00000000	100.000000	
8	8	액스비스	0011A0	2026-09-11	2	SEC-M2							③
8	10	우리기술	032820	2026-09-09	2	SEC-M2	28	85	60	2	6.00000000	96.610169	
8	3	우리로	046970	2026-09-11	2	SEC-M3	46	114	60	27	0.41228070	54.237288	
8	6	JW신약	067290	2026-09-01	2	SEC-M3	21	178	60	28	0.48314607	52.542373	
8	8	액스비스	0011A0	2026-09-11	2	SEC-M3							③
8	10	우리기술	032820	2026-09-09	2	SEC-M3	28	85	60	3	0.70588235	94.915254	
8	3	우리로	046970	2026-09-11	3	SEC-M1	467	32	158	74	0.00000000	52.866242	
8	6	JW신약	067290	2026-09-01	3	SEC-M1	212	102	158	37	0.00506984	76.433121	
8	8	액스비스	0011A0	2026-09-11	3	SEC-M1							③
8	10	우리기술	032820	2026-09-09	3	SEC-M1	281	35	158	17	0.01352657	89.171975	
8	3	우리로	046970	2026-09-11	3	SEC-M2	467	32	158	27	1.00000000	82.802548	
8	6	JW신약	067290	2026-09-01	3	SEC-M2	212	102	158	1	6.00000000	99.363057	
8	8	액스비스	0011A0	2026-09-11	3	SEC-M2							③
8	10	우리기술	032820	2026-09-09	3	SEC-M2	281	35	158	6	3.00000000	96.178344	
8	3	우리로	046970	2026-09-11	3	SEC-M3	467	32	158	71	0.40625000	54.777070	
8	6	JW신약	067290	2026-09-01	3	SEC-M3	212	102	158	50	0.57843137	68.152866	
8	8	액스비스	0011A0	2026-09-11	3	SEC-M3							③
8	10	우리기술	032820	2026-09-09	3	SEC-M3	281	35	158	32	0.65714286	79.617834	
8	3	우리로	046970	2026-09-11	5	SEC-M1							⑤
8	6	JW신약	067290	2026-09-01	5	SEC-M1							⑤
8	8	액스비스	0011A0	2026-09-11	5	SEC-M1							③
8	10	우리기술	032820	2026-09-09	5	SEC-M1							⑤
8	3	우리로	046970	2026-09-11	5	SEC-M2							⑤
8	6	JW신약	067290	2026-09-01	5	SEC-M2							⑤
8	8	액스비스	0011A0	2026-09-11	5	SEC-M2							③
8	10	우리기술	032820	2026-09-09	5	SEC-M2							⑤
8	3	우리로	046970	2026-09-11	5	SEC-M3							⑤
8	6	JW신약	067290	2026-09-01	5	SEC-M3							⑤
8	8	액스비스	0011A0	2026-09-11	5	SEC-M3							③
8	10	우리기술	032820	2026-09-09	5	SEC-M3							⑤
