# RESULTS_SECTOR_DRYRUN — 건별 측정값 (기계 생성 · 🔬 탐색 표기 · 판정 아님)
# 주 판정 갈래 N=3 · SEC-M1 · DB 스냅샷 2026-09-02 · 시드 20260815 · post1~5 «만»
# 1. 🔴 **「라이브 채택 금지 · 성과·엣지 추정 금지」** — 이 문서가 만드는 어떤 섹터 지표도 라이브 전략·파라미터 변경의 근거가 아니다(`PREREG_SECTOR_COMOVE.md` §0-1 · `PREREG.md` §0). 산출물은 **기록**이지 전략 후보가 아니다.
# 2. 🔴 **「+15%」 문턱이 이 축 «안»에 남아 있다** — `n_up`(대조 풀)과 `SEC-M2` 가 `고가 ≥ 전일종가 × 1.15` 를 쓴다(`run_regday_post5.py:13`·`:327` 승계 · §2-2). **`SEL-S1` 기각은 그대로 유지된다** — 이 값은 «판정 문턱»이 아니라 «대조 풀·측정자 입력»이고, **등록일 당일 저자 종목에 걸지 않는다**(동료에게만 건다).
# 3. 🔴 **`SEC-P1` 불성립을 「테마가 아니다」로 읽지 않는다** — 거짓 음성이 구조적이다(에코프로 4종목이 KSIC 에서 «세 칸»으로 흩어진다 · §0-2 · §9). 성립도 「섹터 동반성이 존재한다」까지이며 「테마로 고른다」의 확증이 아니다.
# 4. 🔴 **`SEC-N1` 은 «`SEC-B1` 없이는» 증거가 아니다** — 저자 종목은 정의상 급등주이고, 급등주가 섹터 동반성이 높다면 `SEC-N1` 은 그 사실만 되비춘다(= `REG-M4` 재진술). **정보는 `SEC-B1`·`SEC-B2` 에 있다**(§4-1).
# 5. 🔬 **여기 있는 값은 전부 «탐색적 표기»다**(`SEC-O1` · §4-5) — post1~5 값은 **판정 분모에 넣지 않는다.** 판정은 post6 부터 누적한다. 그리고 이 축의 최대치는 **「기술」**이다(승/패 대조 2회 연속 미실시 · §0-2 ③).
# 6. 🔴 **이 실행은 «훈련»이 아니라 «배선 점검»이다**(§0-4 4번) — 규칙 «선택»이 없다. 잣대(`SEC-D1`·`D2`)는 이 실행 «전»에 동결됐다(§0-6 · 2026-09-02).
#
post	item	name	code	reg	N	measure	sector	peers	G	sec_rank	raw	pct	reason
2	1	씨피시스템	413630	2026-07-30	2	SEC-M1	22	52	61	36	0.00165829	40.000000	
2	2	케이엔알시스템	199430	2026-07-28	2	SEC-M1	27	102	61	48	-0.04800880	20.000000	
3	4	마키나락스	477850	2026-08-05	2	SEC-M1	58	186	61	37	0.00765874	38.333333	
3	5	매드업	0039P0	2026-08-06	2	SEC-M1							③
3	6	빛과전자	069540	2026-08-05	2	SEC-M1	26	288	61	1	0.03826445	98.333333	
4	1	이노테크	469610	2026-08-13	2	SEC-M1	29	211	60	12	0.00000000	79.661017	
4	2	한켐	457370	2026-08-12	2	SEC-M1	20	166	60	31	0.00000000	47.457627	
4	3	금호건설	002990	2026-08-12	2	SEC-M1	41	38	60	11	0.00368889	81.355932	
4	4	지투파워	388050	2026-08-13	2	SEC-M1	28	85	60	4	0.00190476	93.220339	
4	5	PS일렉트로닉스	332570	2026-08-13	2	SEC-M1	26	288	60	12	0.00000000	79.661017	
4	6	코데즈컴바인	047770	2026-08-19	2	SEC-M1	14	30	60	18	-0.00872275	69.491525	
5	1	혜인	003010	2026-08-11	2	SEC-M1	46	114	60	32	0.00525818	45.762712	
5	2	한국화장품제조	003350	2026-08-12	2	SEC-M1	20	166	60	31	0.00000000	47.457627	
5	3	코데즈컴바인	047770	2026-08-21	2	SEC-M1	14	30	60	12	-0.00130965	79.661017	
5	4	한켐	457370	2026-08-20	2	SEC-M1	20	166	60	21	0.00348974	64.406780	
5	5	삼양바이오팜	0120G0	2026-08-21	2	SEC-M1							③
5	6	광전자	017900	2026-08-05	2	SEC-M1	26	288	61	1	0.03826445	98.333333	
5	7	레메디		2026-08-18	2	SEC-M1							①
2	1	씨피시스템	413630	2026-07-30	2	SEC-M2	22	52	61	14	2.00000000	76.666667	
2	2	케이엔알시스템	199430	2026-07-28	2	SEC-M2	27	102	61	9	2.00000000	85.000000	
3	4	마키나락스	477850	2026-08-05	2	SEC-M2	58	186	61	3	6.00000000	95.000000	
3	5	매드업	0039P0	2026-08-06	2	SEC-M2							③
3	6	빛과전자	069540	2026-08-05	2	SEC-M2	26	288	61	0	37.00000000	100.000000	
